batter,runs,balls_faced,matches_batting,dismissals,batting_average,batting_strike_rate,total_balls,dot_balls,boundaries,fours,sixes,dot_ball_percentage,boundary_percentage,runs_per_boundary,thirties,fifties,hundreds
Bipul Sharma,187,124,17,6,31.166666666666668,150.80645161290323,124,34,20,11,9,27.419354838709676,16.129032258064516,9.35,1,0,0
C Green,707,472,28,20,35.35,149.78813559322032,472,144,94,62,32,30.508474576271187,19.915254237288135,7.5212765957446805,9,2,1
C Madan,15,21,1,1,15.0,71.42857142857143,21,15,3,3,0,71.42857142857143,14.285714285714285,5.0,0,0,0
C Munro,177,144,11,9,19.666666666666668,122.91666666666667,144,68,27,19,8,47.22222222222222,18.75,6.555555555555555,2,0,0
C Nanda,0,1,1,1,0.0,0.0,1,1,0,0,0,100.0,0.0,0.0,0,0,0
C Sakariya,20,31,7,5,4.0,64.51612903225806,31,21,3,3,0,67.74193548387096,9.67741935483871,6.666666666666667,0,0,0
C de Grandhomme,303,229,21,15,20.2,132.31441048034935,229,86,36,18,18,37.55458515283843,15.72052401746725,8.416666666666666,5,0,0
CA Ingram,205,183,15,12,17.083333333333332,112.02185792349727,183,78,27,22,5,42.62295081967213,14.754098360655737,7.592592592592593,2,0,0
CA Lynn,1329,974,42,39,34.07692307692308,136.4476386036961,974,416,198,132,66,42.71047227926078,20.32854209445585,6.712121212121212,10,10,0
CA Pujara,390,403,22,18,21.666666666666668,96.7741935483871,403,200,54,50,4,49.62779156327544,13.399503722084367,7.222222222222222,3,1,0
CH Gayle,4997,3516,141,128,39.0390625,142.1217292377702,3516,1636,767,408,359,46.53014789533561,21.814562002275313,6.514993481095176,24,32,6
CH Morris,618,413,49,29,21.310344827586206,149.636803874092,413,134,76,41,35,32.445520581113804,18.401937046004843,8.131578947368421,4,2,0
CJ Anderson,538,436,29,22,24.454545454545453,123.39449541284404,436,200,71,40,31,45.87155963302752,16.28440366972477,7.577464788732394,4,3,0
CJ Ferguson,98,119,8,6,16.333333333333332,82.35294117647058,119,58,9,9,0,48.739495798319325,7.563025210084033,10.88888888888889,0,0,0
CJ Jordan,81,81,12,9,9.0,100.0,81,38,6,3,3,46.913580246913575,7.4074074074074066,13.5,1,0,0
CJ McKay,8,15,1,1,8.0,53.333333333333336,15,8,0,0,0,53.333333333333336,0.0,8.0,0,0,0
CK Kapugedera,16,24,3,3,5.333333333333333,66.66666666666666,24,10,0,0,0,41.66666666666667,0.0,16.0,0,0,0
CK Langeveldt,8,9,2,2,4.0,88.88888888888889,9,6,1,0,1,66.66666666666666,11.11111111111111,8.0,0,0,0
CL White,971,774,45,35,27.742857142857144,125.45219638242895,774,274,114,76,38,35.400516795865634,14.728682170542637,8.517543859649123,9,6,0
CM Gautam,169,158,13,9,18.77777777777778,106.9620253164557,158,84,23,17,6,53.16455696202531,14.556962025316455,7.3478260869565215,3,0,0
CR Brathwaite,181,120,14,14,12.928571428571429,150.83333333333334,120,53,26,10,16,44.166666666666664,21.666666666666668,6.961538461538462,2,0,0
CR Woakes,78,77,12,5,15.6,101.29870129870129,77,33,9,7,2,42.857142857142854,11.688311688311687,8.666666666666666,0,0,0
CRD Fernando,4,3,2,1,4.0,133.33333333333331,3,0,0,0,0,0.0,0.0,4.0,0,0,0
CV Varun,25,49,10,2,12.5,51.02040816326531,49,31,2,2,0,63.26530612244898,4.081632653061225,12.5,0,0,0
D Brevis,230,176,10,10,23.0,130.6818181818182,176,83,33,17,16,47.159090909090914,18.75,6.96969696969697,4,0,0
D Ferreira,8,11,2,2,4.0,72.72727272727273,11,5,0,0,0,45.45454545454545,0.0,8.0,0,0,0
D Kalyankrishna,3,8,1,1,3.0,37.5,8,5,0,0,0,62.5,0.0,3.0,0,0,0
D Padikkal,1559,1323,64,63,24.746031746031747,117.83824640967498,1323,564,212,170,42,42.63038548752834,16.02418745275888,7.35377358490566,12,9,1
D Pretorius,44,28,5,4,11.0,157.14285714285714,28,10,6,3,3,35.714285714285715,21.428571428571427,7.333333333333333,0,0,0
D Salunkhe,33,24,3,1,33.0,137.5,24,8,5,5,0,33.33333333333333,20.833333333333336,6.6,0,0,0
D Wiese,148,105,11,6,24.666666666666668,140.95238095238096,105,34,19,12,7,32.38095238095238,18.095238095238095,7.7894736842105265,1,0,0
D du Preez,10,13,1,1,10.0,76.92307692307693,13,5,0,0,0,38.46153846153847,0.0,10.0,0,0,0
DA Miller,2924,2171,123,84,34.80952380952381,134.68447719944726,2171,726,341,207,134,33.440810686319665,15.70704744357439,8.574780058651026,25,13,1
DA Warner,6567,4849,184,164,40.042682926829265,135.4299855640338,4849,1873,899,663,236,38.62652093215096,18.539905135079398,7.304783092324805,30,62,4
DAJ Bracewell,12,9,1,0,12.0,133.33333333333331,9,1,1,1,0,11.11111111111111,11.11111111111111,12.0,0,0,0
DB Das,304,267,22,12,25.333333333333332,113.85767790262172,267,124,39,23,16,46.441947565543074,14.606741573033707,7.794871794871795,2,0,0
DB Ravi Teja,375,325,25,20,18.75,115.38461538461537,325,124,44,35,9,38.15384615384615,13.538461538461538,8.522727272727273,4,1,0
DE Bollinger,21,23,4,1,21.0,91.30434782608695,23,11,2,1,1,47.82608695652174,8.695652173913043,10.5,0,0,0
DG Nalkande,12,12,2,2,6.0,100.0,12,5,1,0,1,41.66666666666667,8.333333333333332,12.0,0,0,0
DH Yagnik,170,142,17,9,18.88888888888889,119.71830985915493,142,62,25,23,2,43.66197183098591,17.6056338028169,6.8,2,0,0
DJ Bravo,1560,1247,110,69,22.608695652173914,125.10024057738573,1247,498,186,120,66,39.93584603047314,14.91579791499599,8.387096774193548,10,5,0
DJ Harris,111,103,4,3,37.0,107.76699029126213,103,52,16,11,5,50.48543689320388,15.53398058252427,6.9375,2,0,0
DJ Hooda,1466,1170,96,77,19.038961038961038,125.2991452991453,1170,402,157,96,61,34.35897435897436,13.418803418803419,9.337579617834395,6,8,0
DJ Hussey,1322,1101,61,49,26.979591836734695,120.07266121707538,1101,425,150,90,60,38.60127157129882,13.623978201634879,8.813333333333333,14,5,0
DJ Jacobs,92,101,7,7,13.142857142857142,91.0891089108911,101,62,14,10,4,61.386138613861384,13.861386138613863,6.571428571428571,1,0,0
DJ Malan,26,26,1,1,26.0,100.0,26,10,2,1,1,38.46153846153847,7.6923076923076925,13.0,0,0,0
DJ Mitchell,351,274,15,13,27.0,128.1021897810219,274,82,38,28,10,29.927007299270077,13.86861313868613,9.236842105263158,2,2,0
DJ Muthuswami,1,3,1,1,1.0,33.33333333333333,3,2,0,0,0,66.66666666666666,0.0,1.0,0,0,0
DJ Thornely,39,54,4,3,13.0,72.22222222222221,54,31,4,2,2,57.407407407407405,7.4074074074074066,9.75,1,0,0
DJ Willey,53,64,5,3,17.666666666666668,82.8125,64,36,7,7,0,56.25,10.9375,7.571428571428571,0,0,0
DJG Sammy,295,251,20,15,19.666666666666668,117.52988047808766,251,108,33,15,18,43.02788844621514,13.147410358565736,8.93939393939394,0,1,0
DJM Short,115,102,7,7,16.428571428571427,112.74509803921569,102,48,16,11,5,47.05882352941176,15.686274509803921,7.1875,2,0,0
DL Chahar,80,61,12,7,11.428571428571429,131.14754098360655,61,24,8,2,6,39.34426229508197,13.114754098360656,10.0,1,0,0
DL Vettori,121,118,16,7,17.285714285714285,102.54237288135593,118,46,13,11,2,38.983050847457626,11.016949152542372,9.307692307692308,0,0,0
DM Bravo,6,5,1,0,6.0,120.0,5,2,1,1,0,40.0,20.0,6.0,0,0,0
DNT Zoysa,11,9,2,1,11.0,122.22222222222223,9,3,1,1,0,33.33333333333333,11.11111111111111,11.0,0,0,0
DP Conway,924,669,22,20,46.2,138.11659192825113,669,237,130,100,30,35.42600896860987,19.43198804185351,7.107692307692307,5,9,0
DP Nannes,4,13,2,1,4.0,30.76923076923077,13,9,0,0,0,69.23076923076923,0.0,4.0,0,0,0
DP Vijaykumar,1,1,1,0,1.0,100.0,1,0,0,0,0,0.0,0.0,1.0,0,0,0
DPMD Jayawardene,1808,1522,78,64,28.25,118.7910643889619,1522,619,240,200,40,40.67017082785808,15.768725361366624,7.533333333333333,12,10,1
DR Martyn,19,26,1,2,9.5,73.07692307692307,26,10,1,1,0,38.46153846153847,3.8461538461538463,19.0,0,0,0
DR Sams,44,48,13,10,4.4,91.66666666666666,48,26,4,1,3,54.166666666666664,8.333333333333332,11.0,0,0,0
DR Shorey,13,20,2,2,6.5,65.0,20,12,1,0,1,60.0,5.0,13.0,0,0,0
DR Smith,2385,1803,88,81,29.444444444444443,132.27953410981698,1803,832,362,245,117,46.1453133666112,20.077648363838048,6.588397790055248,18,17,0
DS Kulkarni,104,113,20,9,11.555555555555555,92.03539823008849,113,50,9,7,2,44.24778761061947,7.964601769911504,11.555555555555555,0,0,0
DS Lehmann,18,19,2,2,9.0,94.73684210526315,19,10,3,3,0,52.63157894736842,15.789473684210526,6.0,0,0,0
DT Christian,460,408,41,28,16.428571428571427,112.74509803921569,408,145,42,23,19,35.53921568627451,10.294117647058822,10.952380952380953,2,0,0
DT Patil,13,13,2,1,13.0,100.0,13,5,1,1,0,38.46153846153847,7.6923076923076925,13.0,0,0,0
DW Steyn,167,163,33,22,7.590909090909091,102.45398773006136,163,72,17,14,3,44.171779141104295,10.429447852760736,9.823529411764707,0,0,0
Dhruv Jurel,347,237,22,13,26.692307692307693,146.41350210970467,237,74,45,29,16,31.223628691983123,18.9873417721519,7.711111111111111,3,2,0
E Lewis,654,499,26,24,27.25,131.06212424849699,499,234,98,62,36,46.893787575150306,19.639278557114228,6.673469387755102,6,4,0
EJG Morgan,1406,1181,74,61,23.049180327868854,119.05165114309906,1181,512,176,112,64,43.353090601185436,14.902624894157492,7.988636363636363,14,5,0
ER Dwivedi,24,15,2,2,12.0,160.0,15,7,4,2,2,46.666666666666664,26.666666666666668,6.0,0,0,0
F Behardien,14,13,3,2,7.0,107.6923076923077,13,5,2,2,0,38.46153846153847,15.384615384615385,7.0,0,0,0
F du Plessis,4571,3435,138,125,36.568,133.07132459970887,3435,1219,588,422,166,35.48762736535662,17.117903930131003,7.773809523809524,29,37,0
FA Allen,14,19,3,2,7.0,73.68421052631578,19,9,1,1,0,47.368421052631575,5.263157894736842,14.0,0,0,0
FH Edwards,4,5,2,1,4.0,80.0,5,3,0,0,0,60.0,0.0,4.0,0,0,0
FY Fazal,183,179,11,9,20.333333333333332,102.23463687150837,179,74,23,22,1,41.340782122905026,12.849162011173185,7.956521739130435,3,0,0
Fazalhaq Farooqi,3,13,2,0,3.0,23.076923076923077,13,10,0,0,0,76.92307692307693,0.0,3.0,0,0,0
G Coetzee,14,22,5,4,3.5,63.63636363636363,22,13,1,0,1,59.09090909090909,4.545454545454546,14.0,0,0,0
G Gambhir,4217,3524,151,135,31.237037037037037,119.66515323496027,3524,1357,551,492,59,38.50737797956867,15.635641316685584,7.653357531760435,22,36,0
GB Hogg,22,22,4,2,11.0,100.0,22,5,1,1,0,22.727272727272727,4.545454545454546,22.0,0,0,0
GC Smith,739,691,29,30,24.633333333333333,106.9464544138929,691,320,103,94,9,46.30969609261939,14.905933429811865,7.174757281553398,5,4,0
GC Viljoen,3,7,3,2,1.5,42.857142857142854,7,5,0,0,0,71.42857142857143,0.0,3.0,0,0,0
GD McGrath,4,5,2,1,4.0,80.0,5,4,1,1,0,80.0,20.0,4.0,0,0,0
GD Phillips,65,55,8,7,9.285714285714286,118.18181818181819,55,32,9,3,6,58.18181818181818,16.363636363636363,7.222222222222222,0,0,0
GH Vihari,284,331,23,20,14.2,85.80060422960725,331,146,24,23,1,44.10876132930513,7.250755287009064,11.833333333333334,3,0,0
GHS Garton,2,4,2,1,2.0,50.0,4,2,0,0,0,50.0,0.0,2.0,0,0,0
GJ Bailey,663,552,36,29,22.862068965517242,120.1086956521739,552,207,78,59,19,37.5,14.130434782608695,8.5,6,2,0
GJ Maxwell,2772,1842,128,111,24.972972972972972,150.4885993485342,1842,704,393,233,160,38.219326818675356,21.335504885993487,7.0534351145038165,19,18,0
GR Napier,15,16,1,1,15.0,93.75,16,7,1,1,0,43.75,6.25,15.0,0,0,0
Gulbadin Naib,19,15,1,1,19.0,126.66666666666666,15,4,2,1,1,26.666666666666668,13.333333333333334,9.5,0,0,0
Gurkeerat Singh,511,436,32,27,18.925925925925927,117.20183486238531,436,170,66,55,11,38.99082568807339,15.137614678899084,7.742424242424242,1,2,0
H Das,2,5,1,1,2.0,40.0,5,3,0,0,0,60.0,0.0,2.0,0,0,0
H Klaasen,993,613,32,26,38.19230769230769,161.99021207177816,613,167,120,56,64,27.24306688417618,19.575856443719413,8.275,8,6,1
HC Brook,190,159,11,9,21.11111111111111,119.49685534591194,159,70,27,23,4,44.0251572327044,16.9811320754717,7.037037037037037,0,0,1
