player,batting_runs,balls_faced,batting_matches,dismissals,batting_average,batting_strike_rate,total_balls,dot_balls_batting,boundaries,fours,sixes,dot_ball_percentage_batting,boundary_percentage,runs_per_boundary,thirties,fifties,hundreds,bowler,runs_conceded,ball,wickets,bowling_matches,overs,bowling_economy,bowling_average,bowling_strike_rate,wickets_per_match,dot_balls_bowling,dot_ball_percentage_bowling,batting_score,bowling_score,allrounder_score
A Uniyal,4,7,2,1,4.0,57.14285714285714,7,3,0,0,0,42.857142857142854,0.0,4.0,0,0,0,A Uniyal,67,38,3,2,6.333333333333333,10.578947368421053,22.333333333333332,12.666666666666666,1.5,8.0,21.052631578947366,0.07097887139065076,0.46593744654159774,0.26845815896612424
A Zampa,15,25,5,5,3.0,60.0,25,13,1,1,0,52.0,4.0,15.0,0,0,0,A Zampa,562,425,30,20,70.83333333333333,7.934117647058824,18.733333333333334,14.166666666666666,1.5,129.0,30.352941176470587,0.07097596252013522,0.5469896118794213,0.30898278719977823
AA Chavan,12,11,3,1,12.0,109.09090909090908,11,5,2,2,0,45.45454545454545,18.181818181818183,6.0,0,0,0,AA Chavan,339,255,8,13,42.5,7.976470588235294,42.375,31.875,0.6153846153846154,100.0,39.21568627450981,0.15059895183428995,0.4507644244046481,0.30068168811946905
AA Jhunjhunwala,217,218,15,14,15.5,99.54128440366972,218,98,24,19,5,44.95412844036697,11.009174311926607,9.041666666666666,1,1,0,AA Jhunjhunwala,130,88,1,10,14.666666666666666,8.863636363636363,130.0,88.0,0.1,27.0,30.681818181818183,0.1632132391646562,0.2280142979086641,0.19561376853666013
AA Noffke,9,12,1,1,9.0,75.0,12,6,1,1,0,50.0,8.333333333333332,9.0,0,0,0,AA Noffke,41,25,1,1,4.166666666666667,9.84,41.0,25.0,1.0,6.0,24.0,0.10613103205753567,0.42526254965691584,0.26569679085722575
AB Agarkar,179,160,18,8,22.375,111.87499999999999,160,60,18,13,5,37.5,11.25,9.944444444444445,1,0,0,AB Agarkar,1174,820,33,42,136.66666666666666,8.590243902439026,35.57575757575758,24.848484848484848,0.7857142857142857,254.0,30.975609756097562,0.19708777395240146,0.5082885630343549,0.35268816849337814
AB Dinda,26,50,16,9,2.888888888888889,52.0,50,31,2,2,0,62.0,4.0,13.0,0,0,0,AB Dinda,2103,1589,82,75,264.8333333333333,7.940843297671492,25.646341463414632,19.378048780487806,1.0933333333333333,627.0,39.458779106356204,0.06314621382277982,0.6286330512658038,0.34588963254429184
AB McDonald,123,103,9,5,24.6,119.41747572815532,103,38,13,9,4,36.89320388349515,12.62135922330097,9.461538461538462,2,0,0,AB McDonald,263,188,14,10,31.333333333333332,8.393617021276595,18.785714285714285,13.428571428571429,1.4,50.0,26.595744680851062,0.2094203683932641,0.5129926229499199,0.361206495671592
AC Gilchrist,2069,1555,80,76,27.223684210526315,133.05466237942122,1555,737,331,239,92,47.39549839228296,21.286173633440512,6.2507552870090635,13,11,2,AC Gilchrist,0,1,1,1,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,100.0,0.3291319554956544,0.6018779342723004,0.4655049448839774
AC Thomas,20,19,4,2,10.0,105.26315789473684,19,8,2,1,1,42.10526315789473,10.526315789473683,10.0,0,0,0,AC Thomas,416,327,16,15,54.5,7.63302752293578,26.0,20.4375,1.0666666666666667,126.0,38.53211009174312,0.1403523200427959,0.506438385665676,0.32339535285423593
AC Voges,181,143,7,6,30.166666666666668,126.57342657342659,143,44,18,15,3,30.76923076923077,12.587412587412588,10.055555555555555,2,0,0,AC Voges,76,56,1,7,9.333333333333334,8.142857142857142,76.0,56.0,0.14285714285714285,15.0,26.785714285714285,0.23844852583154305,0.3586361760305422,0.29854235093104264
AD Mascarenhas,79,79,11,10,7.9,100.0,79,29,6,5,1,36.708860759493675,7.59493670886076,13.166666666666666,0,0,0,AD Mascarenhas,365,310,19,13,51.666666666666664,7.064516129032258,19.210526315789473,16.31578947368421,1.4615384615384615,124.0,40.0,0.13087491775756063,0.5324777996261054,0.33167635869183304
AD Mathews,724,599,41,31,23.35483870967742,120.86811352253757,599,207,73,44,29,34.5575959933222,12.186978297161936,9.917808219178083,7,1,0,AD Mathews,1095,807,28,44,134.5,8.141263940520446,39.107142857142854,28.821428571428573,0.6363636363636364,224.0,27.757125154894673,0.23662364251981285,0.4944910407061566,0.36555734161298475
AD Russell,2488,1515,104,84,29.61904761904762,164.22442244224422,1515,645,380,171,209,42.57425742574257,25.082508250825082,6.5473684210526315,26,11,0,AD Russell,2691,1771,125,112,295.1666666666667,9.116883116883116,21.528,14.168,1.1160714285714286,584.0,32.975719932241674,0.3893811287257286,0.7090877580635327,0.5492344433946307
